NOM,ADRESSE,ARRONDISSEMENT,DISTRICT,TELEPHONE,Catégorie
Parc Jean-Jacques-Bertrand,"1359,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311,
Parc Jean-Louis,"145, rue Hémond Longueuil QC CA J4G1K2",,District 01 - Vieux-Longueuil,450 463-7311,
Parc Joseph-De-Sérigny,"1100, chemin du Lac Longueuil QC CA J4J1W3",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 463-7311,
Parc Joseph-Paré,"4155,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 12 - Saint-Hubert,450 463-7311,
Parc Joseph-William-Gendron,"3222, rue Windsor 02 QC CA J4T2X2",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311,
Parc Jubilee,"753, rue Barden Greenfield Park QC CA J4V2G3",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7311,
Parc Jules-Moulin,"1780,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311,
Parc La Fayette,"1585, boulevard La Fayette Longueuil QC CA J4K3B6",,District 07 - Vieux-Longueuil,450 463-7311,
Parc Laurier,"2095, rue Laurier Longueuil QC CA J4J4J4",,District 04 - Vieux-Longueuil,450 463-7311,
Parc Laviolette,"900, rue de Honfleur Longueuil QC CA J4J4R8",,District 03 - Vieux-Longueuil,450 463-7311,
Parc Lecavalier,"2040, rue Brébeuf Longueuil QC CA J4J3P7",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 463-7311,
Parc Lionel-Groulx,"2700, rue Périgny Longueuil QC CA J4L4E7",,District 02 - Vieux-Longueuil,450 463-7311,
Parc Louis-Brosseau,"5231,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311,
Parc Lucien-Millette,"480,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311,
Parc Marcel-Simard,"1425, boulevard Gaétan-Boucher Saint-Hubert QC CA J3Z1C8",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311,
Parc Marie-Josée-Vandette,"3880, rue Labrosse Saint-Hubert QC CA J3Y3C8",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311,
Parc Marquette,"2300, rue Dollard Longueuil QC CA J4L2P5",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 463-7311,
Parc Meunier,"525, rue Latour Saint-Hubert QC CA J3Y6A9",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311,
Parc Mgr-A.-M.-Parent,"3875, Grande Allée Saint-Hubert QC CA J4T2V8",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311,
Parc Michel-Chartrand,"1895, rue Adoncour Longueuil QC CA J4J5G8",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,450 468-7619,
Parc Olynyk,"161,  Greenfield Park QC CA J4V3B1",Arrondissement de Greenfield Park,District 10 - Greenfield Park,,
Parcours du Cerf (golf),"2500, boulevard Fernand-Lafontaine Longueuil QC CA J4N1M5",Arrondissement du Vieux-Longueuil,District 01 - Vieux-Longueuil,450 463-7311,Tourisme
Parc Pacific,"3460,  Saint-Hubert QC CA J3Y5K2",,,,
Parc Perras,"3450,  02 QC CA ",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311,
Parc Pierre-et-Bernard-Lucas,"2060, rue Holmes Saint-Hubert QC CA J4T1R5",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311,
Parc Pierre-Laporte (Saint-Hubert),"5400,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311,
Parc Quevillon,"4680,  Saint-Hubert QC CA J3Y2V2",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,,
Parc Raymond,"1000, rue De Lorimier Longueuil QC CA J4K3N1",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 463-7311,
Parc Raymond-Brassard,"5551,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311,
Parc Raymond-Comeau,"3995,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311,
Parc René-Veillet,"1050,  Greenfield Park QC CA J4V1B4",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7311,
Parc Roberval,"390, boulevard Roberval Ouest Longueuil QC CA J4L3B2",Arrondissement du Vieux-Longueuil,District 05 - Vieux-Longueuil,450 463-7311,
Parc roulottes Le Marquis,"3950, boulevard Sir-Wilfrid-Laurier Saint-Hubert QC CA J3Y5Y9",,,,
Parc Saint-Nazaire,"4995,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311,
Parc Samuel-de-Champlain,"2101, rue Lavallée Longueuil QC CA J4J4E7",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 463-7311,
Parc Sirois,"3595,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311,
Parc St-Judes,"778,  Greenfield Park QC CA J4V1R7",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7311,
Parc St. Mark,"340, rue Saint-Charles Ouest Longueuil QC CA J4H1E8",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311,
Parc Thomas-Dubuc,"450, rue Lalande Longueuil QC CA J4G2H7",Arrondissement du Vieux-Longueuil,District 01 - Vieux-Longueuil,450 463-7311,
Parc Viger,"5205, rue Viger Saint-Hubert QC CA J3Y8Y9",,,,
Pavillon d'accueil du parc Michel-Chartrand (Parc régional),"1895, rue Adoncour Longueuil QC CA J4J5G8",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 468-7617,
Planchodrome Jean-Béliveau,"1755,  Longueuil QC CA J4N1H1",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,450 463-7311,Tourisme
Plein Sud,"150,  Longueuil QC CA J4H4A9",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 679-2966,
Port de plaisance Réal-Bouvier,"101, chemin de la Rive Longueuil QC CA J4H4C9",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,,Tourisme
Relais du parc Michel-Chartrand (Parc régional),"1798, chemin du Lac Longueuil QC CA J4J4V5",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 468-7616,Tourisme
Rendez-Vous Optimiste,"2254, rue Limoges Longueuil QC CA J4G1E3",Arrondissement du Vieux-Longueuil,District 01 - Vieux-Longueuil,450 679-7463,
Studios Marmier,"743, rue Marmier Longueuil QC CA J4K4S3",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 674-4203,
Théâtre de la ville,"180, rue De Gentilly Est Longueuil QC CA J4H4A9",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 670-1611,Tourisme
Usine de filtration,"276,  Saint-Lambert QC CA J4S1V8",Arrondissement du Vieux-Longueuil,District 11 - Saint-Hubert,,Tourisme
Usine de filtration,"1700, rue Bourassa Longueuil QC CA J4J3A6",Arrondissement du Vieux-Longueuil,District 11 - Saint-Hubert,,Tourisme
Vieux presbytère St. Mark,"340, rue Saint-Charles Ouest Longueuil QC CA J4H1E8",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 468-6761,Tourisme
